title,website_url,homeschool_com_url,grades_or_ages,prices_mentioned,description
Winter Promise,https://winterpromise.com/basics1/,https://www.homeschool.com/resource-guide/winter-promise/,Preschool,Varies,"""WinterPromise pulls together a variety of resources that allow you to tailor the program to meet the needs of your family members’ individual learning styles. You can count on activities that are exciting for kids"
Before 5 in a Row,https://fiveinarow.com/before-five-in-a-row/,https://www.homeschool.com/resource-guide/before-5-in-a-row/,Preschool; Kindergarten,Varies,"""Designed to be used with children ages 2 through 4, Before Five in a Row is a rich treasury of classic picture book lessons and creative ideas that help you gently, consistently prepare your children for the lifelong"
God’s Little Explorers Preschool Curriculum,https://www.motherhoodonadime.com/gods-little-explorers-preschool-curriculum/,https://www.homeschool.com/resource-guide/gods-little-explorers-preschool-curriculum/,Preschool,Varies,"""In June of 2012, I decided I wanted to create a special preschool experience for my youngest daughter (who was four-years-old at the time). As a former teacher turned homeschooling mom, I’ve always dreamed of"
JumpStart Games,https://www.jumpstart.com/,https://www.homeschool.com/resource-guide/jumpstart-games/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade,Varies,"""JumpStart® Games is the leader in creating interactive family experiences that enrich, entertain and educate. For over 20 years, Jumpstart Games has produced high quality products that are engaging, social, creative,"
Letter of the Week Preschool Curriculum,https://www.letteroftheweek.com/preschool_age_3.html,https://www.homeschool.com/resource-guide/letter-of-the-week-preschool-curriculum/,Preschool,Varies,"""I feel it is very important that when teaching each letter you focus on only one sound at a time. The letter A, for example, has many different sounds. The first time the letter A is taught, I have chosen to focus"
"Teen Driver Education Classes – Online, Parent Taught and In-Class!",https://www.allstardrivereducation.com/state/michigan-drivers-ed/?utm_source=Referral-Paid&utm_medium=Homeschool.com&utm_campaign=Resource-Guide,https://www.homeschool.com/resource-guide/teen-driver-education-classes-online-parent-taught-and-in-class/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$54.99-$99.99 depending on your state,"Start your driver education from the convenience of your home and as per your schedule. We offer state approved online classes in Indiana, Texas, Ohio, Oklahoma, Wisconsin and Arizona. We also have parent-taught options"
Truelight Christian Academy,https://www.truelightchristianschool.org/,https://www.homeschool.com/resource-guide/truelight-christian-academy/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,Free,A non-profit Christian Academy that includes homeschooling students. The spirit and atmosphere of True Light Christian School is often compared to a close-knit family where children develop friendships that last a
Pathways in Education,http://www.pathwaysnampa.org/,https://www.homeschool.com/resource-guide/pathways-in-education/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$1,"Pathways in Educations is a free public charter high school in Nampa, ID. They offer a variety of instructional methods to fit the unique learning styles of students in Canyon County. The independent study program"
Tutorful – Expert Online Tutoring,https://tutorful.co.uk/online-tutoring,https://www.homeschool.com/resource-guide/tutorful-expert-online-tutoring/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$1,"Tutorful allows students and tutors to connect with ease. With thousands of tutors available for online lessons, find an expert, private tutor today!"
Greenways Academy,https://www.greenwaysacademy.com/,https://www.homeschool.com/resource-guide/greenways-academy/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Tuition by Semester,"When you visit a tailor, you get a custom made garment based on your specifications. Like a tailor Greenways Academy will create, customize, or hybridize online courses to meet the specifications of the students or the"
Excel High School,https://www.excelhighschool.com/,https://www.homeschool.com/resource-guide/excel-high-school-2/,9th Grade; 10th Grade; 11th Grade; 12th Grade,Monthly Subscription,Excel High School offers flexible and affordable options to complete a high school diploma online. Excel High School’s online courses come complete with Highly-Qualified Instructors and everything you need to graduate
Citizens’ High School – Homeschool Curriculum,https://www.homeschool.com/resource-guide/citizens-high-school-homeschool-curriculum/,https://www.homeschool.com/resource-guide/citizens-high-school-homeschool-curriculum/,9th Grade; 10th Grade; 11th Grade; 12th Grade,Yearly Subscription,Our program is home-based and utilizes textbook-based learning to allow the student to learn at their pace.
Sierra Blanca Christian Academy,http://www.sbcaruidoso.com/,https://www.homeschool.com/resource-guide/sierra-blanca-christian-academy/,9th Grade; 10th Grade; 11th Grade; 12th Grade,Yearly Subscription,Ruidoso school offering a high school homeschool co-op dedicated to the pursuit of academic excellence and the development of Christian values.
Positive Action Bible Curriculum,https://positiveaction.org/,https://www.homeschool.com/resource-guide/positive-action-bible-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,One-Time Payment (Materials),"Deep, God-focused studies that get your children into the Word of God."
Trinity International University,https://www.tiu.edu/,https://www.homeschool.com/resource-guide/trinity-international-university/,,Tuition by Semester,"Trinity College has a long history (founded in 1897) and strives to educate men and women for faithful participation in God’s redemptive work in the world by cultivating academic excellence, Christian faithfulness,"
Homeschool Buyers Co-op,https://letshomeschoolhighschool.com/out/51694/url/,https://www.homeschool.com/resource-guide/homeschool-buyers-co-op/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,One-Time Payment (Materials),JOIN TODAY! It’s absolutely FREE and you can trust us to never use your contact info for anything other than to bring you the greatest homeschool curriculum values on earth. Then share and tell your homeschool friends
Pandia Press Science Odyssey,https://www.pandiapress.com/real-science-odyssey/,https://www.homeschool.com/resource-guide/pandia-press-science-odyssey/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade,$32-$64,"REAL Science Odyssey is a flexible, incremental, and accessible secular science curriculum made for home and small group use. Students read about concepts and theories and then use engaging hands-on activities to"
Circe Institute – The Lost Tools of Writing,https://www.circeinstitute.org/lost-tools-writing,https://www.homeschool.com/resource-guide/circe-institute-the-lost-tools-of-writing/,11th Grade,$25-$156,"Discover a treasure chest of resources used by teachers around the world to cultivate wisdom and virtue through writing. Here you will find tools to remove the guesswork, anxiety, and frustration felt by so many student"
Veritas Press Curriculum,https://veritaspress.com/,https://www.homeschool.com/resource-guide/veritas-press-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,"$1,000-$2,000/yearly","At Veritas, your children are preparing for life by educating them in the ways they naturally develop with the desired result of producing a bold educated servant of Christ, ready to succeed in whatever calling God has"
Care2Rock Private Music Lessons,https://care2rock.com/,https://www.homeschool.com/resource-guide/care2rock-private-music-lessons/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-$189,"Care2Rock is an easy, affordable way to learn music from anywhere. In addition to offering flexible, private online music lessons with expert teachers, Care2Rock also provides instruments for students."
Emotive Computing Lesson Plans,https://www.emotivecomputingplatform.com/,https://www.homeschool.com/resource-guide/emotive-computing-lesson-plans/,Pre-K - 12th Grade,Free,"Emotive Computing, LLC creates custom apps, lesson plans, and training resources to help autistic young adults to identify and regulate emotions during real-world activities, in order to improve decision making and"
Entrepreneur University Online Classes,https://entreu.org/,https://www.homeschool.com/resource-guide/entrepreneur-university-online-classes/,,$795-$3600,Entrepreneur University is designed to teach students everything they need to know about starting and running their own business. It is founded on the belief that small businesses are a large part of our economy and
All About Reading,https://www.allaboutlearningpress.com/all-about-reading-pre-reading/,https://www.homeschool.com/resource-guide/all-about-reading/,Kindergarten; 1st Grade,$1-$119.95,All About Reading provides physical materials to teach your student to read. All About Reading is a comprehensive curriculum and provides you with everything you need to teach your student to read. They offer (1-4)
Skill Trek,http://skilltrekker.com/,https://www.homeschool.com/resource-guide/still-trek/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$14.95/mo,"Skill Trek is a hands-on curriculum that works to teach your child what isn't taught through core academics. Students learn about maintenance, housekeeping, good hygiene, finance, and many more life skills. Skill Trek"
ONEder Academy,https://www.oneder.com/,https://www.homeschool.com/resource-guide/oneder-academy/,7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-Request a Quote,"ONEder Academy provides various curriculums to students to help with life skills. Lessons can be screen shared, completed independently, or have a mix of both. Students can learn about how to be financially responsible,"
Nancy Larson Science Program,https://www.nancylarsonstore.com/Nancy-Larson-Science-Real-Science-Real-Results_ep_47-1.html,https://www.homeschool.com/resource-guide/nancy-larson-science-program/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$30-$349,"Nancy Larson Science lessons include a review of previous material while also incorporating reading, writing, and vocabulary skills into the non-fiction text. Everything you need to teach your child comes with your"
A Reason for Reason,https://areasonfor.com/collections/science,https://www.homeschool.com/resource-guide/a-reason-for-reason/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,Free-329.95,A Reason For Science provides homeschool curriculum that corresponds with the National Science Education Standards. Each material kit contains all you need for your student to learn and experiment. Material refill kits
Captivating Compass Online Courses,https://www.captivatingcompass.com/,https://www.homeschool.com/resource-guide/captivating-compass-online-courses/,Pre-K - 12th Grade,Free-$127,"Captivating Compass is for those who wish to learn through traveling. With online courses, printables, videos, and exploration students are sure to enjoy learning! There is also an online book club that pairs great with"
BrimWood Press Collections,https://brimwoodpress.com/,https://www.homeschool.com/resource-guide/brimwood-press-collections/,Pre-K - 12th Grade,Free-$132,"BrimWood Press offers various collections where students learn about years of history through books and hands-on activities. Calendar Quest, Worldview, Christian Theology, Historical Novels, Tools for Young Historians,"
Captain Jeff,https://www.homeschool.com/resource-guide/captain-jeff/,https://www.homeschool.com/resource-guide/captain-jeff/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade,Free-$100,"Captain Jeff is a unique reading program based on the use of exciting storytelling, books, and shows. The emphasis of the program is phonemic awareness, decoding skills, comprehension, and imagination."
Amber’s Hooked on Books,https://m8286.myubam.com/,https://www.homeschool.com/resource-guide/ambers-hooked-on-books/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$4-$80,Amber's Hooked on Books offers an extensive catalog of books with a variety of subjects. Students are able to choose any book of interest.
Happy Cheetah Reading,https://happycheetah.com/,https://www.homeschool.com/resource-guide/happy-cheetah-reading/,Pre-K - 12th Grade,$7.95-$400,"Happy Cheetah Reading offers a complete program that helps students (and those with special needs) to develop and sharpen their reading skills. With no electronics and prep time needed, Happy Cheetah Reading helps"
PRIDE Reading Homeschool Programs,https://pridereadingprogram.com/,https://www.homeschool.com/resource-guide/pride-reading-homeschool-programs/,Pre-K - 12th Grade,Free-$150,"PRIDE Reading is a program for struggling readers, dyslexia, and reading comprehension. Whether it's through home/online professional instructions, easy to teach programs or virtual reality instruction programs, PRIDE"
Firm Foundations Academy,https://www.firmfoundationsacademy.com/,https://www.homeschool.com/resource-guide/firm-foundations-academy/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,$250-$3500,Firm Foundations Academy is a homeschool hybrid program where students attend class twice a week which covers core subjects and enrichment classes and then completes the remaining work at home for the other three days.
My Transition Portfolio,https://mykeyplans.com/,https://www.homeschool.com/resource-guide/my-transition-portfolio/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$39.95-$49.95,"MyKey Plans Transition Portfolio is designed to help students with disabilities set goals and build self-determination, preparing them for life after high school. The digital version allows students to add materials to"
Equipping Minds Program,https://equippingminds.com/,https://www.homeschool.com/resource-guide/equipping-minds-program/,Pre-K - 12th Grade,$883-$4463,"Equipping Minds’s main objective is to help kids and adults decrease learning and social challenges while increasing cognitive abilities. Equipping Minds Cognitive Development Curriculum includes nutritional, vision,"
Child Diagnostics Courses,https://diannecraft.org/former-student-testimonials/,https://www.homeschool.com/resource-guide/child-diagnostics-courses/,,$570/course,"Child Diagnostics provides student paced three semester hours of graduate credit per course for teachers, nurses, social workers, and occupational therapists who are looking for recertification. These courses can be"
Little Giant Steps Brain Sprints,https://www.brainsprints.com/about-us/,https://www.homeschool.com/resource-guide/little-giant-steps-brain-sprints/,Pre-K - 12th Grade,$330+ 3 monthly payments of $135-$1000 initial payment+ $3900 month,"Little Giant Steps’s Brain Sprints work to grow and change the brain’s natural ability through stimulation such as increase in movement, visual activities, and tactical stimulation to produce brain pathways to name"
Covenant Home Curriculum,https://covenanthome.com/,https://www.homeschool.com/resource-guide/covenant-home-curriculum/,Pre-K - 12th Grade,$129-$745,Covenant Home Curriculum provide families with sound textual material on the classical approach to education. Full-service programs are offered for children from Pre-Kindergarten through the Twelfth grade. Parents are
Xtra Math Online Learning,https://xtramath.org/#/home/index,https://www.homeschool.com/resource-guide/xtra-math-online-activities/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade,Free-$4.99,"XtraMath is a free program that helps students master math facts including addition, subtraction, multiplication, and division with extra math worksheets. Students learn at different paces and in different ways."
Verso Advertising Marketing Help,http://www.versoadvertising.com/,https://www.homeschool.com/resource-guide/verso-advertising-marketing-help/,,$175-$400,"Verso Advertising helps published authors market their books. Verso Advertising represents publishers including Harper Collins, Harvard University Press, and Houghton Mifflin Harcourt to name a few but is willing to"
WriteShop,https://writeshop.com/,https://www.homeschool.com/resource-guide/writeshop/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$3.50-$129.50,"WriteShop I and II, Primary, and Junior Curriculums use creative lessons and assignments to provide a solid writing foundation. Lessons are incremental and varied, and gradually increase in difficulty. Editing is"
Language Arts Kit,https://www.shillerlearning.com/intro.php,https://www.homeschool.com/resource-guide/language-arts-kit/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade,$195-$212,"ShillerLearning provides comprehensive Montessori-based curriculum kits. Language Arts Kit A and B includes phonics, grammar, spelling, reading, writing, typing, and storytelling for 3-9 year olds. Includes four lesson"
ShillerMath Math Kit,https://www.shillerlearning.com/intro.php,https://www.homeschool.com/resource-guide/shillermath-math-kit/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$275-$400,"ShillerLearning provides comprehensive Montessori-based curriculum kits. Math Kit I and II includes diagnostic tests, a parent guide, lesson books, answer guides, a CD of math songs, and all manipulative for PreK-8th"
RightStart Mathematics Bundle,https://rightstartmath.com/,https://www.homeschool.com/resource-guide/rightstart-mathematics-bundle/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade,$91,RightStart uses a hands-on approach that de-emphasizes counting and focuses on understanding and problem solving. A two-sided abacus is used to help visualize quantities and games are used for practice instead of
Sequential Spelling Curriculum,https://www.sequentialspelling.com/index2.php,https://www.homeschool.com/resource-guide/sequential-spelling-curriculum/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$22,Sequential Spelling teaches spelling through word families. A multi-sensory approach increases retention. The workbook contains 180 daily lessons and five evaluation tests and is available for every level. The complete
Next Level Home School,http://nextlevelhomeschool.com/,https://www.homeschool.com/resource-guide/next-level-home-school-2/,2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$1,Next Level Home School offers a variety of online courses for grades 2-12. They accept charter school funds from a few select schools. Classes run from 4-12 weeks. Classes are flex-schedule online classes with hands-on
Exploration Education Science Curriculum,https://explorationeducation.com/,https://www.homeschool.com/resource-guide/exploration-education-science-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,$60,"Exploration Education offers hands-on, year-long courses in physical science. Students will study force, energy, magnets, sound, and more, while discovering the relationship between science and daily life. Materials and"
Handwriting Without Tears Books,https://www.lwtears.com/hwt,https://www.homeschool.com/resource-guide/handwriting-without-tears-books/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 5th Grade,$12,"Handwriting Without Tears is an award-winning handwriting curriculum that teaches pencil grip, letter formation, and literacy skills. Kick Start Kindergarten is a workbook that teaches capital and lowercase letters for"
Science for Highschool,https://www.scienceforhighschool.com/,https://www.homeschool.com/resource-guide/science-for-highschool/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$6-$301,"Science for High School is a collection of science manuals and lab sets for chemistry, biology, and physical sciences. Unlike traditional textbooks, Science for High School pushes students to find the answer to a"
MatlScience,http://matlscience.com/,https://www.homeschool.com/resource-guide/matlscience/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$98.97,MatlScience offers a chemistry kit for students with easy to understand instructions for exciting and interesting experiments. The kit comes with enough chemicals to complete each experiment up to 12 times. The
Mango Math,https://www.mangomath.com/,https://www.homeschool.com/resource-guide/mango-math/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,"$21-$2,765",Mango Math has multiple kits designed to teach kids through game-based lessons. The kits contain everything needed to cover the concepts of a full curriculum. The kits come with game boards and all the accessories
Learn Our History Online Curriculum,https://learnourhistory.com/,https://www.homeschool.com/resource-guide/learn-our-history-online-curriculum/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$19.95/mo,Learn Our History aims to make history fun for kids to learn. They provide physical reading materials to teach students who learn best by reading. These resources are designed to teach patriotism and love for our
Innovator’s Tribe Summer School,https://www.innovatorstribe.com/,https://www.homeschool.com/resource-guide/innovators-tribe-summer-school/,4th Grade; 5th Grade,$36.75,"Innovator's Tribe offers an online summer school focusing on science, technology, innovation, coding, and design. The courses are self-paced and are designed for gifted students or highly driven students who want to"
Innovator’s Tribe Online Courses,https://www.innovatorstribe.com/,https://www.homeschool.com/resource-guide/innovators-tribe-online-courses/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$40-$247,"Innovator's Tribe offers a variety of online courses focusing on science, electives, and technology. They are designed for gifted students or highly driven students who want to learn more outside of their traditional"
Girls Can Crate Subscription Box,https://www.girlscancrate.com/?gclid=EAIaIQobChMIwLaJ06OH6gIVBoTICh0Zag5yEAAYASAAEgL39PD_BwE,https://www.homeschool.com/resource-guide/girls-can-crate-subscription-box/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$18.50-$32.95/mo,"GIRLS CAN! CRATE offers a monthly subscription service containing lessons and activities centered around a female role model. As girls grow up, they begin to adopt gender stereotypes and girls start to define some"
Dyslexia Gold,http://dyslexiagold.co.uk/,https://www.homeschool.com/resource-guide/dyslexia-gold/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade,$8-$15/mo - $32/mo,Dyslexia Gold's programs are geared towards children with dyslexia and can change your child's life with just 10 minutes a day. Transform your child’s reading and hearing abilities by addressing the causes of their
Dover Books,https://www.doverpublications.com/homeschool,https://www.homeschool.com/resource-guide/dover-books/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$0.79-$257.42,"Dover provides various books and ebooks to help aid your homeschool curriculum. From books that target core courses to books about cooking, origami, nature, and sports, there are books and ebooks to fill all your needs!"
Discovery Education Online Curriculum,https://www.discoveryeducation.com/,https://www.homeschool.com/resource-guide/discovery-education-online-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-Request a Quote,Discovery Education is the leading global provider in a standards-based online curriculum for K–12 classrooms. They are the home to award-winning digital textbooks and multimedia content that millions of teachers
Demme Learning Curriculum,https://demmelearning.com/,https://www.homeschool.com/resource-guide/demme-learning-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-$188,"Demme Learning is a collection of innovative, engaging curriculums for grades K-12th. From math to spelling to faith, each curriculum emphasizes the importance of parents as instructors. Each curriculum is also designed"
Code Avengers Online Games,https://www.codeavengers.com/,https://www.homeschool.com/resource-guide/code-avengers-online-games/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-$29.00/mo,"Code Avengers is a student-paced online curriculum that helps students with data reputation, programing, and computational thinking. They have many more courses on different skills as well. It’s a great way to help"
CodaKid Online Courses,https://codakid.com/,https://www.homeschool.com/resource-guide/codakid-online-courses/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,149.99/yr,"CodaKid is designed to prepare students to be successful in the 21st-century world we live in. CodaKid teaches kids how to code to build websites, apps, and games using multiple coding languages. This site offers"
Chester’s Comics,https://www.chestercomix.com/,https://www.homeschool.com/resource-guide/chesters-comics/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade,"Free-$1,012.90","Chester's Comics provides fun visual aids to history lessons. The author, Bentley Boyd, graduated cum laude from Harvard with a passion for history. You can purchase Chester's Comics as books, e-books, or an app. These"
Carson Dellosa Curriculum,https://www.carsondellosa.com/,https://www.homeschool.com/resource-guide/carson-dellosa-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-$100,Carson Dellosa has something for everyone. They provide resources for both classrooms and homeschoolers. They believe a student can learn from anything and everything whether it is crafts or curriculum. Carson Dellosa
Lakeshore Learning Online Courses,https://brilliant.org/,https://www.homeschool.com/resource-guide/lakeshore-learning-online-courses/,9th Grade; 10th Grade; 11th Grade; 12th Grade,Free-$24.99/mo,Brilliant offers both free and premium subscriptions to its online services. They are designed for students as well as adults who want to brush up on subjects or keep their minds sharp. Brilliant is designed to offer
Breaking the Barrier Online Curriculum,https://tobreak.com/pages/homeschool,https://www.homeschool.com/resource-guide/breaking-the-barrier-online-curriculum/,9th Grade; 10th Grade; 11th Grade; 12th Grade,$115.50/yr,Breaking the Barrier is designed to be a full language curriculum for homeschoolers eager to learn both Spanish and French. This is a full curriculum and is designed not to need any outside resources. The teacher or
Boon Dah Online,https://www.boon-dah.com/,https://www.homeschool.com/resource-guide/boon-dah-online-games-activity-kits-books-animated-lessons/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$14.99-$23.98,Boon-dah has multiple resources designed to interest visual learners in STEM. Boon-dah was created by a neuroscientist and father who believes fun visual learning can inspire children to love science and reading.
"ASD Online Programs, Workbooks, Books",https://www.asdreading.com/,https://www.homeschool.com/resource-guide/online-programs-workbooks-books/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade,$199.99/yr,ASD Reading is a reading program specifically designed by Dr. Marion Blank for students with Autism Spectrum Disorder. Dr. Blank's groundbreaking work teaches children to read at the 3rd-grade level. This program can be
Supplemental Streaming Resource,https://curiositystream.com/educators/k-12.html#intro,https://www.homeschool.com/resource-guide/supplemental-streaming-resource/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$19.99/yr-$69.99/yr,"Curiosity Stream is an online resource that contains a variety of engaging media materials that are aligned and are supplemental to subjects in the general curriculum. Through high quality and fascinating videos,"
Structure and Style for Students,http://www.iew.com/,https://www.homeschool.com/resource-guide/structure-and-style-for-students/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,$169-$269,The Institute for Excellence in Writing (IEW) is a Christian company that offers many options for Language Arts in a Charlotte Mason or Classical approach. They train in the method of an oral & written pathway of
ARTistic Pursuits Book Series,https://artisticpursuits.com/,https://www.homeschool.com/resource-guide/artistic-pursuits-book-series/,Pre-K - 12th Grade,$10-$320,"ARTistic Pursuits is a book based Art Curriculum great for students of all ages. No prior art instruction is necessary. Learners will learn to recognize different techniques by studying art by American masters, but"
Abeka Child Art,http://www.abeka.com,https://www.homeschool.com/resource-guide/a-beka-child-art/,Preschool,$14,Abeka’s Child Art for 2s and 3s are geared towards toddlers who are just getting started. Teaches colors & shapes and how to follow simple directions. Students will also learn to develop eye-hand coordination as
Abeka Fun Songs for Little Ones,http://www.abeka.com,https://www.homeschool.com/resource-guide/a-beka-fun-songs-for-little-ones/,Preschool; Kindergarten,$13-$19,"A Beka’s Fun Songs for Little Ones will make learning fun as students sing while they learn. Available for levels K4-K5 They will sing classic nursery rhymes, animal songs & much more. Includes a mix of"
Homeschool Classifieds,https://homeschoolclassifieds.com/,https://www.homeschool.com/resource-guide/homeschool-classifieds/,Pre-K - 12th Grade,$1,"Wondering ""How to find budget-friendly homeschool curriculum?"" The homeschool classifieds are a great place to buy and sell quality new and used homeschooling curriculum at a great price. Find your best-fit curriculum"
WOKE Homeschooling,https://wokehomeschooling.com/,https://www.homeschool.com/resource-guide/woke-homeschooling/,3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$13-$40,"WOKE Homeschooling's ""Oh Freedom"" download includes 38 weeks of easy to implement lessons that allow you to easily enter history through the eyes of real people. WOKE Homeschooling provides both a faith-based and a"
Winning with Writing,https://jackrispublishing.com/collections/winning-with-writing,https://www.homeschool.com/resource-guide/winning-with-writing/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$16-$17,"Winning with Writing is a workbook writing program based on a 36-week school year, with lessons divided into five days. The lessons have various activities to practice the concept, with space for writing in the book."
Growing with Grammar,https://jackrispublishing.com/collections/growing-with-grammar,https://www.homeschool.com/resource-guide/growing-with-grammar/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$16-$17,"Growing with Grammar Level 1-8 is a workbook grammar program based on a 36-week school year, with lessons typically taught three days per week. Vocabulary, parts of speech, conjunctions, sentence structure, and"
Soaring with Spelling and Vocabulary,https://jackrispublishing.com/collections/soaring-with-spelling,https://www.homeschool.com/resource-guide/soaring-with-spelling-and-vocabulary/,2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$16-$17,"Soaring with Spelling and Vocabulary Level is a 216-page workbook for your child. Levels are based on a 36-week school year, with lessons divided into five days. Each lesson in this level has eight list words, which are"
